method,K,dseed,init_seed,eps,recall,precision,f1,soft_error,n_found,n_hits,n_correct,nfe
v3f2,3,0,0,3.0,1.0,1.0,1.0,1.2990778495315567,3,3,3,18310
b0,3,0,0,1.0,0.6666666666666666,0.003131524008350731,0.006233766233766234,0.9532348608558879,1916,2,6,2000000
b0,3,0,0,1.5,1.0,0.05375782881002088,0.1020307082714215,0.9532348608558879,1916,3,103,2000000
b0,3,0,0,2.0,1.0,0.24947807933194155,0.3993316624895572,0.9532348608558879,1916,3,478,2000000
b0,3,0,0,2.5,1.0,0.49739039665970775,0.6643429766469153,0.9532348608558879,1916,3,953,2000000
b0,3,0,0,3.0,1.0,0.7171189979123174,0.835258358662614,0.9532348608558879,1916,3,1374,2000000
b10,3,0,0,1.0,1.0,0.049234863606121095,0.09384908053265695,0.6585066574331041,1503,3,74,2020000
b10,3,0,0,1.5,1.0,0.2428476380572189,0.39079229122055675,0.6585066574331041,1503,3,365,2020000
b10,3,0,0,2.0,1.0,0.5089820359281437,0.6746031746031746,0.6585066574331041,1503,3,765,2020000
b10,3,0,0,2.5,1.0,0.780439121756487,0.8766816143497758,0.6585066574331041,1503,3,1173,2020000
b10,3,0,0,3.0,1.0,0.9308050565535595,0.9641626464507236,0.6585066574331041,1503,3,1399,2020000
v3f2,3,0,1,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.2991821131803867,3,1,1,18000
v3f2,3,0,1,1.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.2991821131803867,3,2,2,18000
v3f2,3,0,1,2.0,1.0,1.0,1.0,1.2991821131803867,3,3,3,18000
v3f2,3,0,1,2.5,1.0,1.0,1.0,1.2991821131803867,3,3,3,18000
v3f2,3,0,1,3.0,1.0,1.0,1.0,1.2991821131803867,3,3,3,18000
b0,3,0,1,1.0,0.6666666666666666,0.004219409282700422,0.008385744234800839,0.867261120960675,1896,2,8,2000000
b0,3,0,1,1.5,1.0,0.06381856540084388,0.11998016856717898,0.867261120960675,1896,3,121,2000000
b0,3,0,1,2.0,1.0,0.2616033755274262,0.4147157190635452,0.867261120960675,1896,3,496,2000000
b0,3,0,1,2.5,1.0,0.5089662447257384,0.6745893044390073,0.867261120960675,1896,3,965,2000000
b0,3,0,1,3.0,1.0,0.7310126582278481,0.8446069469835467,0.867261120960675,1896,3,1386,2000000
b10,3,0,1,1.0,1.0,0.051553205551883675,0.09805153991200503,0.7322480508148722,1513,3,78,2020000
b10,3,0,1,1.5,1.0,0.23198942498347655,0.37660944206008584,0.7322480508148722,1513,3,351,2020000
b10,3,0,1,2.0,1.0,0.5049570389953735,0.671058410188845,0.7322480508148722,1513,3,764,2020000
b10,3,0,1,2.5,1.0,0.7699933906146729,0.8700522778192681,0.7322480508148722,1513,3,1165,2020000
b10,3,0,1,3.0,1.0,0.9259748843357568,0.9615648592999314,0.7322480508148722,1513,3,1401,2020000
v3f2,3,0,2,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.2991160742048777,3,1,1,18290
v3f2,3,0,2,1.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.2991160742048777,3,2,2,18290
v3f2,3,0,2,2.0,1.0,1.0,1.0,1.2991160742048777,3,3,3,18290
v3f2,3,0,2,2.5,1.0,1.0,1.0,1.2991160742048777,3,3,3,18290
v3f2,3,0,2,3.0,1.0,1.0,1.0,1.2991160742048777,3,3,3,18290
b0,3,0,2,1.0,0.3333333333333333,0.0026164311878597592,0.005192107995846313,1.0065602032821923,1911,1,5,2000000
b0,3,0,2,1.5,1.0,0.05128205128205128,0.09756097560975609,1.0065602032821923,1911,3,98,2000000
b0,3,0,2,2.0,1.0,0.2548403976975406,0.4061718098415346,1.0065602032821923,1911,3,487,2000000
b0,3,0,2,2.5,1.0,0.4981684981684982,0.6650366748166259,1.0065602032821923,1911,3,952,2000000
b0,3,0,2,3.0,1.0,0.7221350078492935,0.8386508659981768,1.0065602032821923,1911,3,1380,2000000
